vernacularName,verbatimScientificName,icelandicName
Acadian Flycatcher,Empidonax virescens,Mýgreipur
Alder Flycatcher,Empidonax alnorum,Elrigreipur
Alpine Swift,Apus melba,Alpasvölungur
American Black Duck,Anas rubripes,Brúnönd
American Coot,Fulica americana,Kolhæna
American Golden-Plover,Pluvialis dominica,Gulllóa
American Pipit,Anthus rubescens,Heiðatittlingur
American Redstart,Setophaga ruticilla,Húmskríkja
American Robin,Turdus migratorius,Farþröstur
American Wigeon,Mareca americana,Ljóshöfðaönd
Arctic Loon,Gavia arctica,Glitbrúsi
Arctic Tern,Sterna paradisaea,Kría
Arctic Warbler,Phylloscopus borealis,Norðsöngvari
Atlantic Puffin,Fratercula arctica,Lundi
Baird's Sandpiper,Calidris bairdii,Leirutíta
Baltimore Oriole,Icterus galbula,Álmkraki
Bank Swallow,Riparia riparia,Bakkasvala
Bar-headed Goose,Anser indicus,Taumgæs
Bar-tailed Godwit,Limosa lapponica,Lappajaðrakan
Barn Swallow,Hirundo rustica,Landsvala
Barnacle Goose,Branta leucopsis,Helsingi
Barred Warbler,Sylvia nisoria,Hauksöngvari
Barrow's Goldeneye,Bucephala islandica,Húsönd
Belted Kingfisher,Megaceryle alcyon,Beltaþyrill
Black Guillemot,Cepphus grylle,Teista
Black Kite,Milvus migrans,Vatnagleða
Black Redstart,Phoenicurus ochruros,Húsaskotta
Black Scoter,Melanitta americana,Krummönd
Black Stork,Ciconia nigra,Kolstorkur
Black Swan,Cygnus atratus,Svartsvanur
Black Tern,Chlidonias niger,Kolþerna
Black-and-white Warbler,Mniotilta varia,Klifurskríkja
Black-bellied Plover,Pluvialis squatarola,Grálóa
Black-crowned Night-Heron,Nycticorax nycticorax,Nátthegri
Black-headed Gull,Chroicocephalus ridibundus,Hettumáfur
Black-legged Kittiwake,Rissa tridactyla,Rita
Black-tailed Godwit,Limosa limosa,Jaðrakan
Black-throated Blue Warbler,Setophaga caerulescens,Bláskríkja
Black-throated Green Warbler,Setophaga virens,Grænskríkja
Black-throated Thrush,Turdus atrogularis,Þorraþröstur
Black-winged Stilt,Himantopus himantopus,Háleggur
Blackpoll Warbler,Setophaga striata,Rákaskríkja
Blue-winged Teal,Spatula discors,Bláönd
Bluethroat,Luscinia svecica,Blábrystingur
Blyth's Reed Warbler,Acrocephalus dumetorum,Elrisöngvari
Bohemian Waxwing,Bombycilla garrulus,Silkitoppa
Bonaparte's Gull,Chroicocephalus philadelphia,Trjámáfur
Brambling,Fringilla montifringilla,Fjallafinka
Brant,Branta bernicla,Margæs
Broad-billed Sandpiper,Calidris falcinellus,Efjutíta
Buff-breasted Sandpiper,Calidris subruficollis,Grastíta
Bufflehead,Bucephala albeola,Hjálmönd
Cackling Goose,Branta hutchinsii,Alaskagæs
Canada Goose,Branta canadensis,Kanadagæs
Canada Warbler,Cardellina canadensis,Haustskríkja
Carrion Crow,Corvus corone,Svartkráka
Caspian Gull,Larus cachinnans,Ósamáfur
Cattle Egret,Bubulcus ibis,Kúhegri
Cedar Waxwing,Bombycilla cedrorum,Sedrustoppa
Cerulean Warbler,Setophaga cerulea,Blámaskríkja
Citrine Wagtail,Motacilla citreola,Mýrerla
Cliff Swallow,Petrochelidon pyrrhonota,Klettasvala
Collared Pratincole,Glareola pratincola,Þernutrítill
Common Buzzard,Buteo buteo,Músvákur
Common Chaffinch,Fringilla coelebs,Bókfinka
Common Chiffchaff,Phylloscopus collybita,Gransöngvari
Common Crane,Grus grus,Grátrana
Common Cuckoo,Cuculus canorus,Gaukur
Common Eider,Somateria mollissima,Æðarfugl
Common Goldeneye,Bucephala clangula,Hvinönd
Common Grasshopper-Warbler,Locustella naevia,Engisöngvari
Common Greenshank,Tringa nebularia,Lyngstelkur
Common House-Martin,Delichon urbicum,Bæjasvala
Common Kingfisher,Alcedo atthis,Bláþyrill
Common Loon,Gavia immer,Himbrimi
Common Merganser,Mergus merganser,Gulönd
Common Murre,Uria aalge,Langvía
Common Nightingale,Luscinia megarhynchos,Næturgali
Common Pochard,Aythya ferina,Skutulönd
Common Quail,Coturnix coturnix,Kornhæna
Common Raven,Corvus corax,Hrafn
Common Redpoll,Acanthis flammea,Auðnutittlingur
Common Redshank,Tringa totanus,Stelkur
Common Redstart,Phoenicurus phoenicurus,Garðaskotta
Common Ringed Plover,Charadrius hiaticula,Sandlóa
Common Rosefinch,Carpodacus erythrinus,Rósafinka
Common Sandpiper,Actitis hypoleucos,Lindastelkur
Common Scoter,Melanitta nigra,Hrafnsönd
Common Shelduck,Tadorna tadorna,Brandönd
Common Snipe,Gallinago gallinago,Hrossagaukur
Common Swift,Apus apus,Múrsvölungur
Common Tern,Sterna hirundo,Sílaþerna
Common Wood-Pigeon,Columba palumbus,Hringdúfa
Common Yellowthroat,Geothlypis trichas,Grímuskríkja
Corn Crake,Crex crex,Engirella
Crested Auklet,Aethia cristatella,Toppklumba
Curlew Sandpiper,Calidris ferruginea,Spóatíta
Dark-eyed Junco,Junco hyemalis,Vetrartittlingur
Dark-sided Flycatcher,Muscicapa sibirica,Móskugrípur
Dovekie,Alle alle,Haftyrðill
Dunlin,Calidris alpina,Lóuþræll
Dunnock,Prunella modularis,Runntítla
Eastern Olivaceous Warbler,Iduna pallida,Fölsöngvari
Eurasian Blackbird,Turdus merula,Svartþröstur
Eurasian Blackcap,Sylvia atricapilla,Hettusöngvari
Eurasian Bullfinch,Pyrrhula pyrrhula,Dómpápi
Eurasian Collared-Dove,Streptopelia decaocto,Tyrkjadúfa
Eurasian Coot,Fulica atra,Bleshæna
Eurasian Curlew,Numenius arquata,Fjöruspói
Eurasian Golden Oriole,Oriolus oriolus,Laufglói
Eurasian Hobby,Falco subbuteo,Gunnfálki
Eurasian Hoopoe,Upupa epops,Herfugl
Eurasian Jackdaw,Corvus monedula,Dvergkráka
Eurasian Kestrel,Falco tinnunculus,Turnfálki
Eurasian Linnet,Linaria cannabina,Hörfinka
Eurasian Marsh-Harrier,Circus aeruginosus,Brúnheiðir
Eurasian Moorhen,Gallinula chloropus,Sefhæna
Eurasian Oystercatcher,Haematopus ostralegus,Tjaldur
Eurasian Reed Warbler,Acrocephalus scirpaceus,Sefsöngvari
Eurasian Siskin,Spinus spinus,Barrfinka
Eurasian Skylark,Alauda arvensis,Sönglævirki
Eurasian Sparrowhawk,Accipiter nisus,Sparrhaukur
Eurasian Spoonbill,Platalea leucorodia,Flatnefur
Eurasian Thick-knee,Burhinus oedicnemus,Tríll
Eurasian Tree Sparrow,Passer montanus,Trjáspör
Eurasian Wigeon,Mareca penelope,Rauðhöfðaönd
Eurasian Woodcock,Scolopax rusticola,Skógarsnípa
